external_course_id,title,organization,certificate_type,duration,rating,reviews_num,difficulty,external_url,students_enrolled
16,AWS Cloud Technical Essentials,Amazon Web Services,Course,1 - 3 Months,4.8,4.3k,Beginner,https://www.coursera.org/learn/aws-cloud-technical-essentials,219668.0
17,AWS Cloud Technology Consultant,Amazon Web Services,Professional Certificate,3 - 6 Months,4.8,4.3k,Beginner,https://www.coursera.org/professional-certificates/aws-cloud-technology-consultant,3034.0
18,AWS Fundamentals,Amazon Web Services,Specialization,3 - 6 Months,4.8,4.4k,Beginner,https://www.coursera.org/specializations/aws-fundamentals,18282.0
19,Abnormal Psychology,Wesleyan University,Specialization,3 - 6 Months,4.8,426,Beginner,https://www.coursera.org/specializations/abnormal-psychology,10496.0
20,Academic English Writing,"University of California, Irvine",Specialization,3 - 6 Months,4.7,22k,Beginner,https://www.coursera.org/specializations/academic-english,208329.0
21,Accelerated Computer Science Fundamentals,University of Illinois at Urbana-Champaign,Specialization,1 - 3 Months,4.7,3.2k,Intermediate,https://www.coursera.org/specializations/cs-fundamentals,42050.0
22,Accounting Principles of Financial Accounting,IESE Business School,Course,1 - 4 Weeks,4.8,2.9k,Beginner,https://www.coursera.org/learn/financial-accounting,118185.0
23,Achieving Personal and Professional Success,University of Pennsylvania,Specialization,3 - 6 Months,4.7,3k,Beginner,https://www.coursera.org/specializations/wharton-success,44615.0
24,Addiction Treatment Clinical Skills for Healthcare Providers,Yale University,Course,1 - 3 Months,4.8,1.7k,Beginner,https://www.coursera.org/learn/addiction-treatment,55217.0
25,Advanced Business Analytics,University of Colorado Boulder,Specialization,3 - 6 Months,4.6,5k,Intermediate,https://www.coursera.org/specializations/data-analytics-business,56365.0
26,Advanced Data Science with IBM,IBM,Specialization,3 - 6 Months,4.3,3k,Advanced,https://www.coursera.org/specializations/advanced-data-science-ibm,43623.0
27,Advanced Embedded Linux Development,University of Colorado Boulder,Specialization,1 - 3 Months,4.0,49,Intermediate,https://www.coursera.org/specializations/advanced-embedded-linux-development,3201.0
28,Advanced Learning Algorithms,DeepLearning.AI,Course,1 - 4 Weeks,4.9,3.9k,Beginner,https://www.coursera.org/learn/advanced-learning-algorithms,173009.0
29,Agile Development,University of Virginia,Specialization,3 - 6 Months,4.7,4.5k,Beginner,https://www.coursera.org/specializations/agile-development,33927.0
30,Agile Leadership,University of Colorado System,Specialization,3 - 6 Months,4.8,2.1k,Beginner,https://www.coursera.org/specializations/agile-leadership-change-management,18224.0
31,Agile Project Management,Google,Course,1 - 4 Weeks,4.8,10.2k,Beginner,https://www.coursera.org/learn/agile-project-management,364660.0
32,Agile with Atlassian Jira,Atlassian,Course,1 - 4 Weeks,4.7,8.3k,Beginner,https://www.coursera.org/learn/agile-atlassian-jira,282500.0
33,Akamai Customer Consulting and Support,"Akamai Technologies, Inc.",Professional Certificate,3 - 6 Months,4.9,26,Beginner,https://www.coursera.org/professional-certificates/akamai-customer-consulting-and-support,47565.0
34,Akamai Network Engineering,"Akamai Technologies, Inc.",Professional Certificate,3 - 6 Months,4.9,26,Beginner,https://www.coursera.org/professional-certificates/akamai-network-engineering,2214.0
35,Algorithms for Battery Management Systems,University of Colorado Boulder,Specialization,3 - 6 Months,4.7,2.4k,Intermediate,https://www.coursera.org/specializations/algorithms-for-battery-management-systems,21805.0
36,An Introduction to American Law,University of Pennsylvania,Course,1 - 3 Months,4.8,4.7k,Beginner,https://www.coursera.org/learn/american-law,182239.0
37,An Introduction to Consumer Neuroscience Neuromarketing,Copenhagen Business School,Course,1 - 3 Months,4.7,3.1k,Beginner,https://www.coursera.org/learn/neuromarketing,171277.0
38,An Introduction to Programming the Internet of Things (IOT),"University of California, Irvine",Specialization,3 - 6 Months,4.7,19.6k,Beginner,https://www.coursera.org/specializations/iot,154449.0
39,Analyze Data to Answer Questions,Google,Course,1 - 4 Weeks,4.6,1.1k,Beginner,https://www.coursera.org/learn/analyze-data,6911.0
40,Analyze Datasets and Train ML Models using AutoML,DeepLearning.AI,Course,1 - 4 Weeks,4.6,9.5k,Advanced,https://www.coursera.org/learn/automl-datasets-ml-models,466585.0
41,Android App Development,Vanderbilt University,Specialization,3 - 6 Months,4.8,3.5k,Beginner,https://www.coursera.org/specializations/android-app-development,67777.0
42,Animal Behaviour and Welfare,The University of Edinburgh,Course,1 - 3 Months,4.5,3.6k,Mixed,https://www.coursera.org/learn/animal-welfare,105704.0
43,Analisis de Datos de Google,Google,Professional Certificate,3 - 6 Months,4.6,454,Beginner,https://www.coursera.org/professional-certificates/analisis-de-datos-de-google,49668.0
44,Applied Data Science,IBM,Specialization,3 - 6 Months,4.8,63,Beginner,https://www.coursera.org/specializations/applied-data-science,8745.0
45,Applied Data Science Capstone,IBM,Course,1 - 3 Months,4.6,48.3k,Intermediate,https://www.coursera.org/learn/applied-data-science-capstone,14456.0
46,Applied Data Science with Python,University of Michigan,Specialization,3 - 6 Months,4.7,6.8k,Intermediate,https://www.coursera.org/specializations/data-science-python,144609.0
47,Applied Data Science with R,IBM,Specialization,3 - 6 Months,4.5,33.5k,Beginner,https://www.coursera.org/specializations/applied-data-science-r,392217.0
48,Applied Software Engineering Fundamentals,IBM,Specialization,3 - 6 Months,4.5,792,Beginner,https://www.coursera.org/specializations/software-engineering-fundamentals,3076.0
49,Architecting with Google Compute Engine,Google Cloud,Specialization,3 - 6 Months,4.6,35.8k,Intermediate,https://www.coursera.org/specializations/gcp-architecture,4621.0
50,Architecting with Google Kubernetes Engine,Google Cloud,Specialization,3 - 6 Months,4.7,56.7k,Beginner,https://www.coursera.org/specializations/architecting-google-kubernetes-engine,78577.0
51,Arizona State University TESOL,Arizona State University,Professional Certificate,3 - 6 Months,4.7,48.8k,Beginner,https://www.coursera.org/professional-certificates/arizona-state-university-tesol,54360.0
52,Arm Cortex-M Architecture and Software Development,Arm,Specialization,3 - 6 Months,4.9,18k,Intermediate,https://www.coursera.org/specializations/cortex-m-architecture-and-software-development,55089.0
53,Artificial Intelligence in Marketing,University of Virginia,Course,1 - 4 Weeks,4.7,84,Beginner,https://www.coursera.org/learn/uva-darden-artificial-intelligence-marketing,2997.0
54,Artificial Intelligence an Overview,Politecnico di Milano,Specialization,3 - 6 Months,4.5,144,Beginner,https://www.coursera.org/specializations/artificial-intelligence-overview,21486.0
55,Arts and Heritage Management,Universita Bocconi,Course,1 - 3 Months,4.5,177,Mixed,https://www.coursera.org/learn/arts-heritage,3002.0
56,Ask Questions to Make Data-Driven Decisions,Google,Course,1 - 4 Weeks,4.8,1.3k,Beginner,https://www.coursera.org/learn/ask-questions-make-decisions,35382.0
57,Aspectos basicos de la asistencia tecnica,Google,Course,1 - 3 Months,4.7,28.4k,Beginner,https://www.coursera.org/learn/asistencia-tecnica,860755.0
58,Aspectos basicos del diseno de la experiencia del usuario,Google,Course,1 - 4 Weeks,4.9,10.7k,Beginner,https://www.coursera.org/learn/aspectos-basicos-del-diseno-de-la-experiencia-del-usuario-ux,110266.0
59,"Aspectos basicos Datos, datos, en todas partes",Google,Course,1 - 3 Months,4.9,2.5k,Beginner,https://www.coursera.org/learn/aspectos-basicos-datos-datos-en-todas-partes,51857.0
60,Assess for Success Marketing Analytics and Measurement,Google,Course,1 - 4 Weeks,4.8,4.8k,Beginner,https://www.coursera.org/learn/assess-for-success,93593.0
61,Assets in Accounting,Intuit,Course,1 - 4 Weeks,4.6,1k,Beginner,https://www.coursera.org/learn/accounting-assets,87946.0
62,"Assets, Threats, and Vulnerabilities",Google,Course,1 - 4 Weeks,4.4,822,Beginner,https://www.coursera.org/learn/assets-threats-and-vulnerabilities,37403.0
63,Astronomy Exploring Time and Space,University of Arizona,Course,1 - 3 Months,4.8,909,Beginner,https://www.coursera.org/learn/astro,66581.0
64,Attract and Engage Customers with Digital Marketing,Google,Course,1 - 4 Weeks,4.8,3.5k,Beginner,https://www.coursera.org/learn/attract-and-engage-customers,223416.0
65,Autodesk CADCAMCAE for Mechanical Engineering,Autodesk,Specialization,3 - 6 Months,4.7,517,Intermediate,https://www.coursera.org/specializations/autodesk-cad-cam-cae-mechanical-engineering,44843.0
66,Autodesk Certified Professional AutoCAD for Design and Drafting Exam Prep,Autodesk,Course,1 - 4 Weeks,4.8,4.8k,Advanced,https://www.coursera.org/learn/autodesk-autocad-design-drafting,54405.0
67,Autodesk Certified Professional Revit for Architectural Design Exam Prep,Autodesk,Course,1 - 4 Weeks,4.7,2.5k,Advanced,https://www.coursera.org/learn/autodesk-revit-architectural-design,150097.0
68,Automate Cybersecurity Tasks with Python,Google,Course,1 - 4 Weeks,4.7,915,Beginner,https://www.coursera.org/learn/automate-cybersecurity-tasks-with-python,68630.0
69,"BI Foundations with SQL, ETL and Data Warehousing",IBM,Specialization,3 - 6 Months,4.8,665,Beginner,https://www.coursera.org/specializations/bi-foundations-sql-etl-data-warehouse,56137.0
70,BIM Fundamentals for Engineers,National Taiwan University,Course,1 - 3 Months,4.6,19.5k,Beginner,https://www.coursera.org/learn/bim-fundamentals,5940.0
71,Battery Technologies,Arizona State University,Specialization,3 - 6 Months,4.7,1.6k,Beginner,https://www.coursera.org/specializations/battery-technologies,73495.0
72,Bayesian Statistics,"University of California, Santa Cruz",Specialization,3 - 6 Months,4.7,30,Intermediate,https://www.coursera.org/specializations/bayesian-statistics,47565.0
73,Become a Journalist Report the News,Michigan State University,Specialization,3 - 6 Months,4.6,184,Beginner,https://www.coursera.org/specializations/become-a-journalist,3045.0
74,Become an EMT,University of Colorado System,Specialization,3 - 6 Months,4.7,1.6k,Beginner,https://www.coursera.org/specializations/become-an-emt,25510.0
75,Behavioral Finance,Duke University,Course,1 - 4 Weeks,4.8,2.3k,Beginner,https://www.coursera.org/learn/duke-behavioral-finance,35474.0
76,Bioinformatics,University of California San Diego,Specialization,3 - 6 Months,4.4,3.8k,Beginner,https://www.coursera.org/specializations/bioinformatics,141892.0
77,Biology Meets Programming Bioinformatics for Beginners,University of California San Diego,Course,1 - 4 Weeks,4.5,13.6k,Beginner,https://www.coursera.org/learn/bioinformatics,128012.0
78,Biostatistics in Public Health,Johns Hopkins University,Specialization,3 - 6 Months,4.3,1.2k,Beginner,https://www.coursera.org/specializations/biostatistics-public-health,60232.0
79,Blockchain Revolution in Financial Services,INSEAD,Specialization,3 - 6 Months,4.6,8.6k,Beginner,https://www.coursera.org/specializations/blockchain-financial-services,108717.0
80,Bookkeeping Basics,Intuit,Course,1 - 4 Weeks,4.7,2.9k,Beginner,https://www.coursera.org/learn/bookkeeping-basics,35909.0
81,"Brand Management Aligning Business, Brand and Behaviour",University of London,Course,1 - 3 Months,4.7,919,Beginner,https://www.coursera.org/learn/brand,15439.0
82,Branding The Creative Journey,IE Business School,Specialization,3 - 6 Months,4.6,3.9k,Beginner,https://www.coursera.org/specializations/branding-the-creative-journey,129803.0
83,Build Basic Generative Adversarial Networks (GANs),DeepLearning.AI,Course,1 - 4 Weeks,4.9,6.9k,Intermediate,https://www.coursera.org/learn/build-basic-generative-adversarial-networks-gans,408994.0
84,Build Dynamic User Interfaces (UI) for Websites,Google,Course,1 - 3 Months,4.6,1.4k,Beginner,https://www.coursera.org/learn/responsive-web-design-adobe-xd,41736.0
85,Build Wireframes and Low-Fidelity Prototypes,Google,Course,1 - 4 Weeks,4.7,1.8k,Beginner,https://www.coursera.org/learn/wireframes-low-fidelity-prototypes,58050.0
86,Build a Modern Computer from First Principles From Nand to Tetris (Project-Centered Course),Hebrew University of Jerusalem,Course,1 - 3 Months,4.8,2.7k,Mixed,https://www.coursera.org/learn/build-a-computer,150886.0
87,Building Cloud Computing Solutions at Scale,Duke University,Specialization,3 - 6 Months,4.9,3.4k,Intermediate,https://www.coursera.org/specializations/building-cloud-computing-solutions-at-scale,185537.0
88,Building No-Code Apps with AppSheet,Google Cloud,Specialization,3 - 6 Months,4.8,2.5k,Beginner,https://www.coursera.org/specializations/building-no-code-apps-with-appsheet,57583.0
89,Business Analytics,University of Illinois at Urbana-Champaign,Specialization,3 - 6 Months,4.4,346,Beginner,https://www.coursera.org/specializations/analytics,11461.0
90,Business Analytics,University of Pennsylvania,Specialization,3 - 6 Months,4.7,123,Beginner,https://www.coursera.org/specializations/business-analytics,2032.0
91,Business Analytics with Excel Elementary to Advanced,Johns Hopkins University,Course,1 - 3 Months,4.6,17.7k,Intermediate,https://www.coursera.org/learn/business-analytics-excel,174950.0
92,Business Data Management and Communication,University of Illinois at Urbana-Champaign,Specialization,3 - 6 Months,4.6,890,Intermediate,https://www.coursera.org/specializations/business-data-management-communication,11336.0
93,Business English Communication Skills,University of Washington,Specialization,3 - 6 Months,4.8,1k,Intermediate,https://www.coursera.org/specializations/business-english,211794.0
94,Business Foundations,University of Pennsylvania,Specialization,3 - 6 Months,4.7,5.8k,Beginner,https://www.coursera.org/specializations/wharton-business-foundations,2166.0
95,Business Model Innovation,HEC Paris,Course,1 - 3 Months,4.7,2.2k,Mixed,https://www.coursera.org/learn/business-model,35919.0
96,Business Statistics and Analysis,Rice University,Specialization,3 - 6 Months,4.8,4.4k,Beginner,https://www.coursera.org/specializations/business-statistics-analysis,127935.0
97,Business Strategies for A Better World,University of Pennsylvania,Specialization,3 - 6 Months,4.7,24.1k,Beginner,https://www.coursera.org/specializations/wharton-global-business-strategy,179483.0
98,Business Strategy,University of Virginia,Specialization,3 - 6 Months,4.8,529,Beginner,https://www.coursera.org/specializations/business-strategy,42066.0
99,Business Value and Project Management,University of Illinois at Urbana-Champaign,Specialization,3 - 6 Months,4.7,1.7k,Beginner,https://www.coursera.org/specializations/business-value-project-management,14607.0
100,Business Writing,University of Colorado Boulder,Course,1 - 4 Weeks,4.8,4k,Beginner,https://www.coursera.org/learn/writing-for-business,61794.0
101,Business and Financial Modeling,University of Pennsylvania,Specialization,3 - 6 Months,4.5,160,Beginner,https://www.coursera.org/specializations/wharton-business-financial-modeling,17159.0
102,C Programming with Linux,Dartmouth College,Specialization,3 - 6 Months,4.8,4.5k,Beginner,https://www.coursera.org/specializations/c-programming-linux,169504.0
103,C Programming for Unity Game Development,University of Colorado System,Specialization,3 - 6 Months,4.5,10.5k,Beginner,https://www.coursera.org/specializations/programming-unity-game-development,81559.0
104,C Programming for Unreal Game Development,University of Colorado System,Specialization,3 - 6 Months,4.4,124,Intermediate,https://www.coursera.org/specializations/cplusplusunrealgamedevelopment,5255.0
105,CAD and Digital Manufacturing,Autodesk,Specialization,3 - 6 Months,4.6,246,Intermediate,https://www.coursera.org/specializations/cad-design-digital-manufacturing,6815.0
106,COBOL Programming with VSCode,IBM,Course,1 - 4 Weeks,4.6,2.5k,Beginner,https://www.coursera.org/learn/cobol-programming-vscode,15586.0
107,COVID-19 Contact Tracing,Johns Hopkins University,Course,1 - 3 Months,4.5,158,Beginner,https://www.coursera.org/learn/covid-19-contact-tracing,8038.0
108,CVS Health Call Center Customer Service,CVS Health,Professional Certificate,3 - 6 Months,4.7,5k,Beginner,https://www.coursera.org/professional-certificates/cvshealth-call-center-customer-service,47335.0
109,CVS Health Retail Customer Service,CVS Health,Professional Certificate,3 - 6 Months,4.7,168,Beginner,https://www.coursera.org/professional-certificates/cvshealth-retail-customer-service,9709.0
110,Calculus for Machine Learning and Data Science,DeepLearning.AI,Course,1 - 4 Weeks,4.9,94.9k,Beginner,https://www.coursera.org/learn/machine-learning-calculus,1403637.0
111,Cancer Biology,Johns Hopkins University,Specialization,3 - 6 Months,4.6,44,Beginner,https://www.coursera.org/specializations/cancer-biology,2011.0
112,Capstone Applying Project Management in the Real World,Google,Course,1 - 4 Weeks,4.7,38,Beginner,https://www.coursera.org/learn/applying-project-management,47565.0
113,Career Success,"University of California, Irvine",Specialization,3 - 6 Months,4.8,374,Beginner,https://www.coursera.org/specializations/career-success,30301.0
114,Certified in Cybersecurity,ISC2,Specialization,3 - 6 Months,4.8,9k,Beginner,https://www.coursera.org/specializations/certified-in-cybersecurity,19720.0
115,ChatGPT Advanced Data Analysis,Vanderbilt University,Course,1 - 3 Months,4.8,6.7k,Beginner,https://www.coursera.org/learn/chatgpt-advanced-data-analysis,224299.0
116,Child Nutrition and Cooking,Stanford University,Course,1 - 3 Months,4.7,22,Beginner,https://www.coursera.org/learn/childnutrition,47565.0
117,Chinese for Beginners,Peking University,Course,1 - 3 Months,4.6,20,Mixed,https://www.coursera.org/learn/learn-chinese,1566.0
118,Ciberseguridad de Google,Google,Professional Certificate,3 - 6 Months,4.7,1.2k,Beginner,https://www.coursera.org/professional-certificates/ciberseguridad-de-google,68816.0
119,Circular Economy - Sustainable Materials Management,Lund University,Course,1 - 3 Months,4.8,9.9k,Beginner,https://www.coursera.org/learn/circular-economy,488791.0
120,Claves de la Direccion de Empresas,IESE Business School,Specialization,3 - 6 Months,4.8,18.7k,Beginner,https://www.coursera.org/specializations/direccion-empresas,1250286.0
121,Climate Change and Sustainable Investing,EDHEC Business School,Specialization,3 - 6 Months,4.9,788,Beginner,https://www.coursera.org/specializations/climatechangeandsustainableinvesting,10344.0
122,Clinical Terminology for International and U.S. Students,University of Pittsburgh,Course,1 - 3 Months,4.8,1.8k,Beginner,https://www.coursera.org/learn/clinical-terminology,63731.0
123,Clinical Trials Operations,Johns Hopkins University,Specialization,3 - 6 Months,4.8,3.2k,Beginner,https://www.coursera.org/specializations/clinical-trials-operations,13679.0
124,Cloud Application Development Foundations,IBM,Specialization,3 - 6 Months,4.7,277,Beginner,https://www.coursera.org/specializations/ibm-cloud-application-development-foundations,6028.0
125,Cloud Computing Law,Queen Mary University of London,Specialization,1 - 3 Months,4.8,3k,Beginner,https://www.coursera.org/specializations/cloud-computing-law,113313.0
126,Cloud-Native Development with OpenShift and Kubernetes,Red Hat,Specialization,3 - 6 Months,4.8,207,Intermediate,https://www.coursera.org/specializations/cloud-native-development-openshift-kubernetes,7750.0
127,Coaching Skills for Managers,"University of California, Davis",Specialization,3 - 6 Months,4.6,6k,Intermediate,https://www.coursera.org/specializations/coaching-skills-manager,6923.0
128,Coding for Everyone C and C,"University of California, Santa Cruz",Specialization,3 - 6 Months,4.6,98,Beginner,https://www.coursera.org/specializations/coding-for-everyone,3053.0
129,Communication Strategies for a Virtual Age,University of Toronto,Course,1 - 4 Weeks,4.8,2.5k,Beginner,https://www.coursera.org/learn/communication-strategies-virtual-age,27416.0
130,CompTIA a_ cyber,CompTIA,Specialization,1 - 3 Months,3.0,17,Beginner,https://www.coursera.org/specializations/comptia-aplus-cyber,47565.0
131,CompTIA a_ network,CompTIA,Specialization,1 - 3 Months,4.5,8.9k,Beginner,https://www.coursera.org/specializations/comptia-aplus-network,111718.0
132,Competitive Strategy and Organization Design,Ludwig-Maximilians-Universitat Munchen (LMU),Specialization,3 - 6 Months,4.8,4.2k,Intermediate,https://www.coursera.org/specializations/competitive-strategy,185821.0
133,Computational Neuroscience,University of Washington,Course,1 - 3 Months,5.0,6,Beginner,https://www.coursera.org/learn/computational-neuroscience,47565.0
134,Computational Thinking for Problem Solving,University of Pennsylvania,Course,1 - 4 Weeks,4.7,3.6k,Beginner,https://www.coursera.org/learn/computational-thinking-problem-solving,18422.0
135,Computer Vision for Engineering and Science,MathWorks,Specialization,1 - 3 Months,4.6,1k,Intermediate,https://www.coursera.org/specializations/computer-vision,123903.0
136,"Concepts, Strategies, and Analytics in Performance Marketing and Digital Advertising",University of Colorado Boulder,Specialization,3 - 6 Months,4.6,909,Beginner,https://www.coursera.org/specializations/digital-advertising-strategy,11233.0
137,Conduct UX Research and Test Early Concepts,Google,Course,1 - 4 Weeks,4.7,1.3k,Beginner,https://www.coursera.org/learn/conduct-ux-research,105366.0
138,Conflict Management,"University of California, Irvine",Specialization,3 - 6 Months,4.8,49,Beginner,https://www.coursera.org/specializations/conflict-management,3182.0
139,Connect and Protect Networks and Network Security,Google,Course,1 - 4 Weeks,4.5,647,Beginner,https://www.coursera.org/learn/networks-and-network-security,26028.0
140,Connected Leadership,Yale University,Course,1 - 3 Months,4.8,4.4k,Beginner,https://www.coursera.org/learn/connected-leadership,197629.0
141,Construction Management,Columbia University,Specialization,3 - 6 Months,4.4,2k,Beginner,https://www.coursera.org/specializations/construction-management,26711.0
142,Construction Project Management,Columbia University,Course,1 - 3 Months,4.8,1.8k,Beginner,https://www.coursera.org/learn/construction-project-management,105546.0
143,Contabilidad para no contadores,Universidad Nacional Autonoma de Mexico,Course,1 - 3 Months,4.8,238,Beginner,https://www.coursera.org/learn/contabilidad,41943.0
144,Convolutional Neural Networks,DeepLearning.AI,Course,1 - 4 Weeks,4.7,8k,Intermediate,https://www.coursera.org/learn/convolutional-neural-networks,52327.0
145,Convolutional Neural Networks in TensorFlow,DeepLearning.AI,Course,1 - 4 Weeks,4.8,6.3k,Intermediate,https://www.coursera.org/learn/convolutional-neural-networks-tensorflow,122100.0
146,Cost Accounting,Technische Universitat Munchen (TUM),Specialization,1 - 3 Months,4.8,1.1k,Beginner,https://www.coursera.org/specializations/costaccounting,44541.0
147,Cost and Economics in Pricing Strategy,University of Virginia,Course,1 - 4 Weeks,4.8,1.9k,Beginner,https://www.coursera.org/learn/uva-darden-bcg-pricing-strategy-cost-economics,75557.0
148,Country Level Economics Macroeconomic Variables and Markets,University of Illinois at Urbana-Champaign,Course,1 - 3 Months,4.6,746,Intermediate,https://www.coursera.org/learn/country-level-economics,40679.0
149,Crash Course on Python,Google,Course,1 - 3 Months,4.6,134,Beginner,https://www.coursera.org/learn/python-crash-course,4250.0
150,Create High-Fidelity Designs and Prototypes in Figma,Google,Course,1 - 3 Months,4.8,649,Beginner,https://www.coursera.org/learn/high-fidelity-designs-prototype,30189.0
151,Creative Thinking Techniques and Tools for Success,Imperial College London,Course,1 - 3 Months,4.8,34.3k,Beginner,https://www.coursera.org/learn/creative-thinking-techniques-and-tools-for-success,956993.0
152,Creative Writing,Wesleyan University,Specialization,3 - 6 Months,4.8,3.4k,Beginner,https://www.coursera.org/specializations/creative-writing,183827.0
153,Creative Writing The Craft of Plot,Wesleyan University,Course,1 - 4 Weeks,4.7,1k,Mixed,https://www.coursera.org/learn/craft-of-plot,6150.0
154,Creativity and AI,"Parsons School of Design, The New School",Specialization,3 - 6 Months,4.7,4k,Intermediate,https://www.coursera.org/specializations/creativity-ai,311461.0
155,Cryptography I,Stanford University,Course,1 - 3 Months,4.6,5.8k,Mixed,https://www.coursera.org/learn/crypto,118242.0
156,Culture-Driven Team Building,University of Pennsylvania,Specialization,3 - 6 Months,4.5,58,Beginner,https://www.coursera.org/specializations/team-building,3625.0
157,"Custom Models, Layers, and Loss Functions with TensorFlow",DeepLearning.AI,Course,1 - 3 Months,4.7,263,Intermediate,https://www.coursera.org/learn/custom-models-layers-loss-functions-with-tensorflow,12799.0
158,Customer Analytics,University of Pennsylvania,Course,1 - 3 Months,4.6,885,Mixed,https://www.coursera.org/learn/wharton-customer-analytics,9892.0
159,Customer Experiences with Contact Center AI - Dialogflow CX,Google Cloud,Specialization,3 - 6 Months,4.7,211,Beginner,https://www.coursera.org/specializations/customer-experiences-with-contact-center-ai-dialogflow-cx,24633.0
160,Customer Service Fundamentals,Knowledge Accelerators,Course,1 - 4 Weeks,4.6,11.6k,Beginner,https://www.coursera.org/learn/customer-service-fundamentals,274118.0
161,Cybersecurity,"University of Maryland, College Park",Specialization,3 - 6 Months,4.5,205,Intermediate,https://www.coursera.org/specializations/cyber-security,1806.0
162,Cybersecurity Attack and Defense Fundamentals,EC-Council,Specialization,3 - 6 Months,4.8,1.5k,Beginner,https://www.coursera.org/specializations/cybersecurity-attack-and-defense,29593.0
163,Cybersecurity Operations Fundamentals,Cisco Learning and Certifications,Specialization,3 - 6 Months,4.6,5.3k,Beginner,https://www.coursera.org/specializations/cbrops,87224.0
164,Cybersecurity Risk Management Frameworks,University System of Georgia,Specialization,3 - 6 Months,4.6,271,Beginner,https://www.coursera.org/specializations/cybersecurity-risk-management-frameworks,11296.0
165,Cybersecurite Google,Google,Professional Certificate,3 - 6 Months,4.6,105,Beginner,https://www.coursera.org/professional-certificates/cybersecurite-google,2134.0
166,Data Analysis and Presentation Skills the PwC Approach,PwC,Specialization,3 - 6 Months,4.6,5.2k,Beginner,https://www.coursera.org/specializations/pwc-analytics,118882.0
167,Data Analysis and Visualization Foundations,IBM,Specialization,3 - 6 Months,4.7,1.1k,Beginner,https://www.coursera.org/specializations/data-analysis-visualization-foundations,184475.0
168,Data Analysis with Python,IBM,Course,1 - 3 Months,4.7,20,Beginner,https://www.coursera.org/learn/data-analysis-with-python,47565.0
169,Data Analysis with R,Duke University,Specialization,3 - 6 Months,4.6,10.6k,Beginner,https://www.coursera.org/specializations/statistics,153804.0
170,Data Analysis with R Programming,Google,Course,1 - 3 Months,4.7,19k,Beginner,https://www.coursera.org/learn/data-analysis-r,15691.0
171,Data Analytics in the Public Sector with R,University of Michigan,Specialization,3 - 6 Months,4.7,17.3k,Intermediate,https://www.coursera.org/specializations/data-analytics-in-the-public-sector-with-r,377468.0
172,Data Engineering Foundations,IBM,Specialization,3 - 6 Months,4.7,7.1k,Beginner,https://www.coursera.org/specializations/data-engineering-foundations,22831.0
173,"Data Engineering, Big Data, and Machine Learning on GCP",Google Cloud,Specialization,3 - 6 Months,4.8,8.6k,Intermediate,https://www.coursera.org/specializations/gcp-data-machine-learning,450552.0
174,Data Literacy,Johns Hopkins University,Specialization,3 - 6 Months,4.7,33,Beginner,https://www.coursera.org/specializations/data-literacy,3654.0
