Hours_Studied,Attendance,Previous_Scores,Sleep_Hours,Tutoring_Sessions,Physical_Activity,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Motivation_Level,Internet_Access,Family_Income,Peer_Influence,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,GROUP,GROUP_LABEL,Exam_Score
11,98,82,9,1,3,1,1,1,0,1,1,2,0,2,0,1,2,Khá,68
16,70,98,8,2,3,1,1,1,1,1,1,2,0,0,1,1,0,Yếu,65
17,78,88,6,1,3,1,1,1,1,1,1,2,0,1,2,0,2,Khá,68
26,61,70,6,2,3,1,0,1,1,1,0,2,0,0,1,0,0,Yếu,64
22,86,72,7,3,2,0,1,1,0,1,0,2,0,0,1,1,2,Khá,68
9,77,57,5,2,3,1,1,0,1,1,1,1,0,0,2,1,0,Yếu,63
22,71,65,7,1,4,0,1,1,0,1,1,2,0,1,1,1,0,Yếu,64
18,68,72,7,0,3,2,1,0,1,1,1,1,0,1,2,1,0,Yếu,64
16,86,63,8,2,4,0,1,1,1,1,1,2,0,0,2,1,1,Trung bình,67
24,77,96,8,0,3,2,0,0,1,1,1,1,0,0,2,0,1,Trung bình,67
26,67,51,7,2,4,1,2,1,0,1,2,1,1,2,0,0,1,Trung bình,66
26,88,79,5,1,4,1,2,1,1,1,0,2,0,1,1,1,3,Giỏi,72
15,83,89,5,1,2,1,2,0,0,0,1,1,1,0,2,0,0,Yếu,65
18,94,87,6,1,4,1,1,1,2,1,1,2,0,0,2,1,3,Giỏi,71
22,65,82,8,2,1,2,0,0,1,1,1,2,0,2,2,0,1,Trung bình,66
26,91,71,8,0,3,1,0,1,1,1,0,1,0,0,1,1,2,Khá,68
17,87,96,7,1,5,1,1,0,1,1,2,0,0,2,2,0,3,Giỏi,70
19,65,66,10,0,3,1,1,1,0,1,0,2,0,0,1,1,0,Yếu,62
13,88,88,9,2,4,0,2,1,2,1,0,0,0,2,0,1,2,Khá,68
13,78,96,9,2,3,1,2,1,2,1,0,1,0,1,1,1,1,Trung bình,67
25,98,56,8,0,3,0,2,1,1,0,1,1,0,2,2,1,3,Giỏi,71
28,66,97,8,0,2,1,2,1,1,1,1,1,0,0,2,1,2,Khá,68
20,86,89,8,1,3,1,1,1,1,1,0,0,0,2,2,1,2,Khá,69
26,75,81,4,3,2,0,2,1,2,1,1,2,0,0,1,1,3,Giỏi,70
22,98,69,5,1,4,1,2,0,0,0,0,0,0,0,1,0,2,Khá,69
16,73,95,7,1,4,1,1,0,1,1,0,0,0,1,2,1,0,Yếu,65
22,98,52,7,3,3,1,0,1,1,0,1,2,0,1,2,0,3,Giỏi,70
29,96,72,7,1,3,1,0,1,1,1,0,2,0,0,1,1,3,Giỏi,71
20,71,88,7,1,4,1,1,1,1,1,0,1,0,1,2,0,0,Yếu,65
29,92,91,4,2,1,0,1,0,1,1,1,0,0,2,2,0,3,Giỏi,72
4,100,60,8,0,4,2,2,1,2,1,1,2,0,1,1,1,2,Khá,69
25,70,52,7,1,3,1,1,0,1,1,1,2,0,2,2,0,1,Trung bình,66
21,77,90,7,4,3,0,1,1,1,1,1,1,0,2,1,1,2,Khá,68
18,81,71,8,0,3,2,0,1,1,1,1,1,0,0,1,0,0,Yếu,65
21,72,57,5,1,5,1,1,1,1,1,2,1,1,1,1,1,0,Yếu,64
8,61,54,7,1,3,1,1,1,1,1,2,2,0,1,2,1,0,Yếu,60
19,69,82,7,1,2,1,2,1,2,1,0,0,0,0,2,1,0,Yếu,65
22,71,79,6,1,3,2,1,0,2,1,0,2,0,0,2,1,1,Trung bình,66
29,78,93,4,5,3,2,2,1,0,1,1,1,0,1,2,1,3,Giỏi,74
17,67,52,5,2,3,1,1,1,2,1,1,0,0,0,0,0,0,Yếu,62
15,95,93,7,2,4,1,1,0,1,1,0,2,0,1,1,1,3,Giỏi,70
17,88,94,7,0,3,1,2,1,0,1,1,1,0,0,2,1,2,Khá,69
25,63,72,7,3,4,1,2,1,1,1,1,0,0,1,0,1,1,Trung bình,67
22,86,54,6,2,0,0,0,0,1,1,1,1,0,0,1,1,0,Yếu,64
17,86,97,5,3,3,1,2,0,2,1,2,1,0,1,2,1,3,Giỏi,71
23,98,54,7,0,3,1,0,1,0,1,1,0,0,1,2,0,2,Khá,68
21,60,80,7,0,4,2,1,0,1,1,1,1,1,1,2,1,0,Yếu,64
26,70,75,8,1,4,1,0,1,1,1,1,1,1,0,0,0,0,Yếu,63
16,97,92,6,0,4,1,1,1,0,1,2,2,0,1,2,1,3,Giỏi,71
18,97,75,4,0,3,2,1,1,0,1,0,2,0,0,1,1,2,Khá,69
18,89,73,4,3,2,2,1,1,1,1,2,2,0,1,2,0,3,Giỏi,100
11,91,94,6,3,3,1,1,0,1,1,1,1,0,1,1,1,2,Khá,68
22,64,98,7,1,3,0,1,0,0,0,1,0,0,0,2,1,0,Yếu,62
22,81,77,7,2,3,1,1,1,0,1,1,2,0,2,0,0,2,Khá,68
20,69,73,6,2,3,2,2,1,1,1,0,2,0,0,0,1,1,Trung bình,66
19,67,92,5,0,3,0,1,0,2,1,1,2,0,1,2,1,0,Yếu,64
12,92,92,4,2,3,1,1,0,2,1,1,1,1,0,1,1,1,Trung bình,67
17,65,66,8,1,4,1,2,1,1,1,2,1,1,2,1,0,0,Yếu,65
18,79,79,7,0,3,1,1,1,1,1,0,1,0,1,0,1,0,Yếu,65
15,98,58,6,0,3,2,1,0,2,1,0,2,0,1,2,1,2,Khá,69
19,67,82,5,1,3,1,1,0,2,1,0,0,0,0,2,1,0,Yếu,63
22,99,92,6,3,4,1,0,1,0,1,1,0,0,2,1,1,3,Giỏi,72
31,100,59,7,2,5,1,1,0,1,1,2,2,0,2,1,1,3,Giỏi,76
21,82,66,7,3,3,1,2,1,2,1,0,2,1,1,2,0,2,Khá,69
22,67,72,7,3,2,1,1,1,2,1,0,2,0,2,1,0,1,Trung bình,67
20,73,92,9,2,3,2,1,1,1,1,1,2,0,1,2,1,2,Khá,69
8,77,87,6,0,2,2,1,1,1,1,0,1,0,0,1,1,0,Yếu,63
20,72,66,9,3,3,1,1,0,1,1,0,2,0,2,2,1,1,Trung bình,67
20,71,62,7,2,5,0,2,1,2,1,1,0,0,1,2,1,1,Trung bình,66
35,99,85,7,2,2,2,2,1,0,1,1,1,0,2,2,0,3,Giỏi,79
19,66,74,8,1,3,1,1,0,1,1,2,1,0,0,2,0,0,Yếu,64
22,89,80,6,1,3,2,2,1,1,1,2,2,0,0,2,0,3,Giỏi,73
20,60,82,7,2,4,0,2,0,2,1,0,2,1,0,2,1,0,Yếu,63
13,84,78,5,1,2,1,1,0,1,1,0,2,0,0,2,1,0,Yếu,65
27,97,81,8,0,5,0,2,1,1,1,2,2,0,0,2,0,3,Giỏi,73
25,72,94,8,2,4,2,2,1,0,1,0,2,0,1,1,0,3,Giỏi,70
25,67,93,9,2,3,2,1,0,2,1,0,2,1,0,2,0,2,Khá,68
15,86,57,7,1,3,1,1,1,1,1,1,0,0,1,2,1,0,Yếu,65
28,89,79,9,0,1,0,2,1,2,1,0,2,0,1,1,0,3,Giỏi,71
12,88,72,6,2,2,0,1,0,0,1,1,2,0,1,0,1,0,Yếu,64
24,73,64,8,4,3,1,2,1,1,1,2,1,1,1,1,1,2,Khá,68
33,70,82,6,1,4,1,1,1,0,1,0,1,0,1,2,1,2,Khá,69
14,98,76,7,0,4,1,1,0,1,1,1,2,0,1,1,0,2,Khá,69
17,97,89,8,1,4,1,1,0,1,1,0,1,0,0,0,1,2,Khá,69
21,78,55,10,1,2,1,1,1,1,1,2,2,0,1,2,1,1,Trung bình,67
17,94,65,8,4,6,0,1,1,0,1,1,1,0,0,0,0,2,Khá,68
11,78,51,8,2,3,1,2,1,1,1,0,1,0,2,2,1,0,Yếu,64
20,77,87,6,0,4,1,1,0,0,1,0,2,0,0,2,0,1,Trung bình,66
14,66,96,7,3,3,2,0,0,1,1,0,0,0,0,2,1,0,Yếu,63
23,77,79,7,0,2,1,1,1,1,1,0,1,0,0,1,1,1,Trung bình,66
14,81,81,9,1,3,1,1,0,1,1,0,0,0,2,2,0,1,Trung bình,66
29,61,52,7,3,3,1,2,1,0,1,0,2,0,1,2,0,1,Trung bình,67
15,78,75,9,1,1,2,2,0,0,1,0,0,0,0,2,1,0,Yếu,65
18,91,76,5,1,3,0,1,1,1,1,1,1,0,0,2,0,2,Khá,68
25,87,52,9,1,2,1,0,0,2,1,0,2,0,0,2,1,2,Khá,68
13,85,89,6,0,1,2,1,0,1,1,2,1,1,0,2,1,0,Yếu,65
21,96,64,8,2,0,1,1,0,2,1,1,1,0,1,2,1,3,Giỏi,71
28,61,86,6,1,3,1,2,0,2,1,0,0,1,2,0,1,0,Yếu,65
10,82,70,8,3,1,1,0,0,1,1,0,2,1,2,2,0,0,Yếu,64
21,91,100,6,0,2,2,1,0,1,1,2,1,0,2,2,0,3,Giỏi,72
22,82,61,9,2,2,1,1,0,1,1,0,0,1,0,2,0,0,Yếu,65
25,73,53,8,0,5,1,2,0,2,0,0,0,0,2,2,0,1,Trung bình,66
13,65,99,6,0,4,0,2,0,1,1,0,0,0,0,2,1,0,Yếu,61
12,96,62,8,2,3,0,2,1,1,1,1,0,0,1,2,0,2,Khá,68
23,79,82,8,3,3,2,2,1,0,1,1,0,1,2,1,0,2,Khá,69
22,95,69,6,1,3,1,2,1,1,1,0,2,0,1,2,0,3,Giỏi,72
22,83,82,5,2,3,1,2,1,1,1,0,2,0,2,2,0,3,Giỏi,71
22,87,80,5,2,3,2,2,0,0,1,0,0,0,0,2,0,3,Giỏi,70
16,92,85,5,1,2,1,2,1,0,1,0,1,0,0,1,1,2,Khá,68
21,86,51,5,2,2,0,1,1,1,1,0,2,0,0,1,0,1,Trung bình,67
22,76,92,8,1,4,1,1,1,1,1,0,1,0,0,2,0,2,Khá,68
16,81,74,8,3,2,1,1,1,1,1,1,2,0,2,2,0,2,Khá,68
31,92,76,4,2,4,1,1,1,1,1,1,2,1,0,0,1,3,Giỏi,72
23,75,71,6,0,2,0,2,0,0,1,1,1,0,1,2,1,0,Yếu,65
13,76,99,5,2,4,1,2,0,0,1,1,2,0,0,2,0,1,Trung bình,66
24,64,90,8,0,3,1,1,1,2,1,0,0,0,0,2,1,0,Yếu,65
14,97,66,6,2,3,1,1,1,1,1,1,0,1,1,2,0,1,Trung bình,67
25,64,89,5,2,4,1,2,0,0,1,1,1,0,1,0,1,1,Trung bình,66
27,86,72,7,1,4,1,1,0,0,1,1,2,0,0,0,1,2,Khá,69
15,77,94,8,0,3,1,1,1,0,1,2,2,0,1,1,1,1,Trung bình,66
26,76,52,6,4,3,1,2,1,1,1,2,1,0,0,2,1,2,Khá,69
22,87,68,7,0,2,2,0,1,1,0,0,1,0,0,2,1,1,Trung bình,67
25,63,71,6,1,3,2,1,1,1,1,1,2,0,0,2,1,1,Trung bình,66
31,84,87,9,2,3,1,1,1,1,1,0,1,0,1,0,1,3,Giỏi,71
19,91,59,6,5,4,2,0,0,1,1,1,1,0,1,1,1,3,Giỏi,70
15,93,64,6,2,4,2,1,0,1,1,1,2,0,2,2,1,3,Giỏi,71
15,67,86,7,1,3,1,1,1,2,1,2,2,0,2,2,1,1,Trung bình,66
15,96,54,7,3,2,1,1,0,2,0,1,0,0,0,2,1,1,Trung bình,67
20,86,60,8,1,4,2,0,0,1,1,1,1,1,1,0,0,1,Trung bình,66
22,95,88,9,0,2,1,2,0,0,1,0,2,0,2,2,1,3,Giỏi,72
22,79,94,9,1,3,1,1,0,1,1,1,2,0,0,2,1,2,Khá,68
25,82,86,6,3,3,1,1,0,1,0,0,2,0,0,2,0,2,Khá,69
20,97,76,7,2,3,1,1,1,0,1,0,2,0,2,2,1,3,Giỏi,71
29,96,55,9,0,2,1,1,1,0,0,1,1,0,2,0,0,3,Giỏi,70
18,78,91,9,2,4,1,1,0,2,1,2,1,0,1,0,0,1,Trung bình,67
36,71,56,6,2,2,1,1,1,1,1,2,2,0,0,0,1,2,Khá,69
24,76,69,8,2,1,0,2,0,0,1,1,1,0,0,1,1,0,Yếu,65
15,76,53,8,1,4,2,2,0,1,1,0,1,0,1,2,1,0,Yếu,65
14,71,85,8,2,4,1,1,1,0,1,1,1,0,0,2,1,0,Yếu,64
23,71,75,9,1,2,0,0,1,0,1,0,0,0,1,2,1,0,Yếu,63
19,94,95,5,3,2,0,1,1,1,1,0,2,0,0,1,1,2,Khá,69
24,63,57,6,1,5,1,0,1,1,1,0,1,0,1,2,0,0,Yếu,64
23,87,91,8,0,3,2,2,1,2,1,2,2,0,0,1,1,3,Giỏi,72
20,67,76,7,0,4,0,1,1,1,1,1,1,0,0,2,1,0,Yếu,63
15,74,68,4,3,3,0,2,1,0,1,0,2,0,0,2,0,0,Yếu,64
11,62,82,5,3,4,1,2,1,1,1,2,1,0,1,1,1,0,Yếu,64
17,71,90,8,5,1,1,1,1,1,1,1,2,0,2,0,1,1,Trung bình,67
25,91,72,8,2,0,1,1,0,0,1,1,2,0,2,2,1,3,Giỏi,71
21,95,62,5,1,4,1,1,0,2,1,1,2,0,0,2,1,3,Giỏi,70
13,69,96,9,0,4,1,0,1,0,1,2,1,0,0,0,0,0,Yếu,61
21,79,66,7,2,4,1,2,1,0,1,0,0,0,1,1,1,1,Trung bình,67
22,79,100,5,4,3,2,1,0,1,1,2,0,0,1,2,1,3,Giỏi,72
15,95,88,6,1,5,0,0,1,0,1,0,0,0,0,2,1,1,Trung bình,66
21,91,84,5,1,2,1,2,1,1,1,2,1,0,0,2,1,3,Giỏi,70
20,81,51,6,3,4,2,1,1,2,0,1,1,1,0,2,1,1,Trung bình,67
13,87,72,4,2,3,2,0,1,1,1,1,1,0,0,1,0,1,Trung bình,67
22,94,75,7,2,2,0,1,1,2,1,2,1,0,1,2,0,3,Giỏi,71
23,60,69,8,1,4,2,1,1,1,1,0,2,0,1,2,1,1,Trung bình,66
26,76,57,5,1,4,1,1,1,1,1,1,2,0,0,2,1,2,Khá,68
26,96,68,7,3,3,1,1,1,1,1,2,2,0,1,2,0,3,Giỏi,74
12,90,54,6,1,3,1,0,1,1,0,2,1,0,0,2,1,0,Yếu,64
14,82,65,8,1,3,1,1,0,1,1,0,2,0,1,2,1,0,Yếu,65
23,81,54,4,1,3,0,1,1,1,1,0,1,0,1,2,1,1,Trung bình,66
23,74,88,8,0,3,1,2,1,0,1,1,0,1,0,2,1,1,Trung bình,66
23,81,84,4,2,5,1,0,0,1,1,1,2,0,0,2,1,2,Khá,68
43,86,97,7,2,1,2,1,1,1,1,1,2,0,0,2,0,3,Giỏi,78
23,77,69,6,1,2,1,2,1,0,1,1,2,0,0,1,0,1,Trung bình,67
27,89,89,6,3,3,1,2,1,1,1,1,2,0,0,2,1,3,Giỏi,74
26,94,79,5,1,2,1,2,0,2,1,0,2,0,2,2,1,3,Giỏi,74
24,66,82,9,1,2,1,0,0,0,1,1,1,1,0,2,0,0,Yếu,62
18,78,77,5,2,4,2,1,1,1,0,1,1,0,0,0,1,1,Trung bình,66
25,76,89,5,3,3,1,1,1,2,1,1,1,0,0,0,0,2,Khá,69
15,87,52,10,2,3,1,2,1,1,1,0,2,0,1,2,1,2,Khá,68
19,70,54,7,0,2,1,0,0,2,1,1,2,1,0,1,1,3,Giỏi,89
17,86,55,5,2,4,2,0,0,0,0,2,1,0,1,2,1,1,Trung bình,66
20,95,64,7,2,3,0,1,1,0,0,1,1,0,0,2,0,2,Khá,68
34,77,80,7,0,3,1,0,1,0,1,1,2,0,0,2,1,2,Khá,69
9,96,82,4,0,4,1,1,1,2,0,0,2,0,1,2,1,1,Trung bình,67
24,100,86,6,2,5,2,2,1,0,1,1,2,0,0,2,1,3,Giỏi,75
10,64,64,7,0,4,1,2,0,2,1,1,2,1,0,1,0,0,Yếu,60
17,69,83,9,2,4,2,1,1,1,1,1,2,1,1,1,0,1,Trung bình,66
27,98,56,7,1,3,0,2,1,0,1,2,2,0,1,2,0,3,Giỏi,73
20,98,50,7,1,2,1,0,0,0,1,1,1,0,0,2,0,2,Khá,68
14,64,85,6,0,3,1,1,1,1,1,1,1,0,0,2,1,0,Yếu,62
16,61,86,9,2,2,1,1,0,0,1,0,2,0,0,2,1,0,Yếu,62
24,66,81,8,1,4,2,0,1,2,1,1,1,0,0,0,1,0,Yếu,65
16,100,63,8,2,3,2,0,1,2,1,0,0,0,0,1,1,2,Khá,69
21,67,96,7,3,2,1,1,0,0,1,0,1,0,0,0,0,0,Yếu,64
20,80,94,5,0,4,1,2,0,1,1,0,2,1,2,1,0,1,Trung bình,67
16,94,76,9,0,2,2,2,1,1,1,0,1,0,0,2,1,3,Giỏi,70
33,61,99,7,2,3,1,1,0,2,1,1,1,0,1,2,0,3,Giỏi,70
24,84,65,7,3,3,2,0,0,0,1,1,2,0,0,2,0,2,Khá,69
8,71,75,8,0,3,2,0,0,1,1,1,2,0,0,2,1,0,Yếu,61
21,94,96,7,0,2,1,1,0,0,1,1,1,1,2,1,1,2,Khá,69
16,71,73,5,1,0,2,1,1,1,1,1,1,1,0,2,1,0,Yếu,63
25,87,74,7,0,4,1,0,1,0,1,1,1,1,0,2,1,1,Trung bình,67
15,87,54,4,1,6,0,1,0,1,1,1,1,0,0,1,1,0,Yếu,65
19,69,61,7,3,4,1,1,1,2,1,2,1,0,0,1,1,1,Trung bình,66
23,61,58,9,4,2,0,1,0,1,1,1,1,0,0,2,1,0,Yếu,63
25,76,78,4,2,3,1,2,1,1,1,1,0,0,0,1,0,2,Khá,68
13,72,66,7,0,4,2,2,0,1,1,0,1,0,2,2,1,0,Yếu,65
18,92,54,8,1,3,0,1,1,1,1,1,2,0,0,2,1,1,Trung bình,67
17,92,75,8,2,3,0,0,1,1,1,1,1,0,2,2,0,2,Khá,68
16,78,83,6,0,3,1,2,0,1,1,0,1,1,1,2,1,0,Yếu,64
31,84,87,5,0,3,1,1,0,2,1,1,2,0,1,1,1,3,Giỏi,71
22,84,92,6,0,5,1,1,1,0,1,1,1,0,0,2,0,2,Khá,69
12,93,74,9,1,3,1,1,1,0,1,1,1,0,2,1,1,1,Trung bình,67
26,77,70,4,2,3,0,1,0,0,1,2,1,1,1,1,0,0,Yếu,65
33,71,84,5,1,2,0,1,0,1,1,1,2,0,0,2,1,2,Khá,68
26,71,51,6,1,3,2,1,1,0,0,2,2,0,2,1,1,1,Trung bình,67
11,81,82,6,3,4,1,1,1,2,1,1,1,0,0,2,1,1,Trung bình,67
17,78,70,7,2,3,1,2,1,1,0,0,2,0,0,2,1,1,Trung bình,66
28,78,73,9,2,4,2,1,0,2,1,1,1,0,1,1,0,3,Giỏi,70
16,64,65,5,3,4,2,0,1,1,1,1,2,0,2,1,0,0,Yếu,65
23,89,56,7,4,4,0,0,1,0,1,1,2,0,2,2,0,2,Khá,69
25,69,70,7,1,4,1,1,1,0,0,2,2,0,0,0,0,0,Yếu,65
14,68,65,6,1,3,2,1,0,1,1,2,1,1,1,2,1,0,Yếu,63
20,77,98,5,2,2,1,1,0,0,1,0,1,0,2,0,0,1,Trung bình,67
1,69,97,6,1,3,2,1,1,1,1,0,2,0,0,2,0,0,Yếu,61
14,83,82,6,0,2,1,0,1,1,1,1,2,0,0,2,0,0,Yếu,65
18,75,95,8,1,2,0,2,1,1,1,0,1,0,1,2,0,1,Trung bình,66
13,78,88,8,0,3,1,2,1,2,1,2,1,0,1,2,1,1,Trung bình,66
30,81,67,5,1,1,1,0,1,1,1,2,0,0,0,2,1,2,Khá,69
11,68,80,6,2,3,1,1,0,1,1,1,2,0,1,1,0,0,Yếu,63
17,66,61,6,1,6,0,2,0,1,1,2,2,0,2,2,1,0,Yếu,65
21,95,84,10,0,4,0,0,0,0,1,2,1,1,0,2,1,1,Trung bình,67
29,77,52,7,2,3,2,2,1,1,1,2,0,1,0,2,0,2,Khá,69
11,76,92,5,4,2,0,1,1,1,1,1,0,0,2,2,1,0,Yếu,65
27,61,79,6,1,3,1,1,0,1,1,0,2,0,0,1,1,0,Yếu,65
20,80,53,6,0,2,2,0,1,1,1,0,1,0,1,1,1,0,Yếu,65
14,82,94,8,2,5,1,2,1,0,1,0,0,0,1,0,0,1,Trung bình,67
23,82,94,8,1,2,0,1,1,1,1,1,0,1,0,2,1,1,Trung bình,66
21,88,93,7,4,3,1,2,0,1,1,0,2,0,0,2,0,3,Giỏi,72
16,67,89,7,3,3,1,2,0,2,1,0,2,0,1,2,1,1,Trung bình,66
20,70,84,7,2,4,1,1,1,0,0,1,1,0,1,0,1,0,Yếu,65
18,92,70,7,1,3,2,1,1,1,1,0,1,0,0,1,1,2,Khá,69
21,98,57,4,2,2,1,0,0,1,1,2,1,0,0,2,0,2,Khá,68
24,65,64,7,1,1,1,0,0,0,1,2,1,0,2,2,1,0,Yếu,64
30,80,67,6,3,4,0,2,0,1,1,1,0,0,1,1,0,2,Khá,69
13,69,68,5,0,1,1,0,1,0,1,2,2,1,0,1,0,0,Yếu,59
33,62,78,10,0,3,2,1,1,1,1,1,2,0,0,1,0,2,Khá,68
8,73,60,7,0,3,1,1,0,1,0,2,1,0,0,2,0,0,Yếu,60
19,66,59,7,1,3,1,2,0,1,1,2,0,0,0,0,1,0,Yếu,62
24,88,86,6,0,3,0,1,1,0,1,0,0,0,1,2,1,1,Trung bình,67
22,81,50,8,4,5,0,2,1,2,1,1,2,0,0,0,0,2,Khá,68
16,66,57,5,3,3,1,2,1,2,1,1,2,0,0,1,0,0,Yếu,64
19,60,72,7,3,3,1,2,1,2,1,0,2,0,0,1,0,0,Yếu,65
17,92,57,6,2,2,0,0,1,1,1,1,2,1,0,1,0,0,Yếu,65
16,67,98,8,0,3,2,1,0,1,1,0,1,0,0,2,0,0,Yếu,63
25,84,84,6,2,3,1,0,1,0,1,1,2,0,0,2,1,3,Giỏi,70
22,73,72,9,3,3,0,1,1,0,1,1,2,0,0,2,0,1,Trung bình,66
16,83,56,7,4,3,1,2,1,0,1,2,2,0,0,2,0,2,Khá,68
25,73,69,8,3,3,0,0,0,1,1,1,2,0,0,2,0,1,Trung bình,66
22,63,83,8,3,1,0,0,0,1,1,1,0,0,1,2,1,0,Yếu,63
25,69,98,9,1,3,2,1,1,1,1,0,0,1,1,1,0,1,Trung bình,66
24,68,74,6,1,3,1,1,1,1,1,1,1,0,0,2,0,0,Yếu,65
15,77,85,8,1,2,1,1,1,2,1,0,2,0,2,1,1,1,Trung bình,66
17,86,60,4,2,3,2,0,1,2,1,2,2,1,1,1,0,1,Trung bình,67
24,71,81,7,0,3,1,1,1,1,1,0,2,0,0,2,1,1,Trung bình,66
24,60,62,6,4,3,0,1,0,2,1,0,0,0,0,2,0,0,Yếu,63
20,81,60,5,3,4,1,1,1,0,1,1,2,1,0,2,1,1,Trung bình,66
21,84,75,6,1,3,1,1,0,0,0,2,2,0,1,1,1,1,Trung bình,67
28,99,61,6,1,3,1,1,1,1,0,0,2,0,0,2,1,3,Giỏi,71
16,84,86,7,1,2,1,2,1,1,1,0,1,0,0,2,0,1,Trung bình,67
23,79,97,6,1,4,1,2,1,1,1,2,1,0,0,1,1,2,Khá,69
19,83,70,7,2,4,1,1,1,1,1,0,0,1,2,2,0,1,Trung bình,67
19,97,66,6,2,2,2,1,1,2,1,1,2,0,1,1,0,3,Giỏi,72
27,93,59,6,2,4,2,0,0,2,1,0,0,0,0,2,0,3,Giỏi,70
25,73,70,7,0,4,1,2,1,0,1,0,1,0,2,1,1,1,Trung bình,67
25,69,78,7,0,3,0,2,1,1,1,0,0,0,0,0,0,0,Yếu,64
28,71,69,8,1,1,1,1,0,2,1,1,1,0,1,1,0,1,Trung bình,67
20,80,81,8,3,4,0,2,0,1,1,1,0,0,2,2,1,2,Khá,69
